idx,true,length,bow,llm_only,singh,webrag
472,Normal,Fraud,Normal,Normal,Fraud,Normal
473,Normal,Fraud,Normal,Normal,Fraud,Normal
474,Normal,Fraud,Normal,Normal,Normal,Normal
475,Normal,Fraud,Normal,Fraud,Normal,Fraud
476,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
477,Normal,Fraud,Normal,Normal,Fraud,Normal
478,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
479,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
480,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
481,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
482,Normal,Fraud,Normal,Normal,Fraud,Fraud
483,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
484,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
485,Normal,Fraud,Normal,Normal,Normal,Normal
